task,system,basis,control,n_hidden,network_seed,converged,accuracy,hidden_unit,best_freq,best_R,best_phase,best_freq_cos,best_R_cos,concentration,null_p,null_mean,null_p95,pitch_height_r,random_r_p95
iran_interval_separate,Iranian-17,dft,input_shuffled,7,100137606,False,0.8562,2,12,0.9748,-0.0,12,0.9748,0.5951,0.0005,0.6049,0.7396,0.0881,0.4513
iran_interval_separate,Iranian-17,dft,input_shuffled,7,100137606,False,0.8562,3,5,0.9575,-2.6077,5,0.8257,0.6161,0.0005,0.6065,0.7533,0.1905,0.426
iran_interval_separate,Iranian-17,dft,input_shuffled,7,100137606,False,0.8562,4,2,0.8708,-0.7776,2,0.6393,0.5289,0.0045,0.6139,0.7638,0.271,0.4755
iran_interval_separate,Iranian-17,dft,input_shuffled,7,100137606,False,0.8562,5,1,0.9442,1.3341,1,0.2716,0.6311,0.0005,0.6113,0.7601,0.809,0.4982
iran_interval_separate,Iranian-17,dft,input_shuffled,7,100137606,False,0.8562,6,7,0.9121,1.0934,7,0.412,0.5583,0.0005,0.6097,0.7601,0.0492,0.4607
iran_interval_separate,Iranian-17,dft,label_shuffled,7,100137606,False,0.6471,0,4,0.5091,0.9218,12,0.4721,0.1782,0.91354,0.607,0.7449,0.0837,0.4742
iran_interval_separate,Iranian-17,dft,label_shuffled,7,100137606,False,0.6471,1,11,0.5293,1.9758,10,0.3308,0.1944,0.83958,0.6015,0.7359,0.1253,0.4763
iran_interval_separate,Iranian-17,dft,label_shuffled,7,100137606,False,0.6471,2,7,0.5416,-0.4918,7,0.4781,0.2016,0.77911,0.6022,0.7431,0.0621,0.5127
iran_interval_separate,Iranian-17,dft,label_shuffled,7,100137606,False,0.6471,3,7,0.5348,1.9821,11,0.4725,0.2054,0.82559,0.6064,0.7508,0.5519,0.4848
iran_interval_separate,Iranian-17,dft,label_shuffled,7,100137606,False,0.6471,4,11,0.5765,-3.0752,11,0.5753,0.2317,0.58521,0.6015,0.7362,0.0448,0.4732
iran_interval_separate,Iranian-17,dft,label_shuffled,7,100137606,False,0.6471,5,5,0.5383,-3.1169,5,0.5382,0.1983,0.74063,0.5858,0.7019,0.0291,0.4445
iran_interval_separate,Iranian-17,dft,label_shuffled,7,100137606,False,0.6471,6,9,0.4848,0.7267,11,0.444,0.1728,0.96302,0.5973,0.7282,0.2926,0.502
iran_interval_separate,Iranian-17,dft,none,7,415574642,False,0.915,0,5,0.8958,0.4292,5,0.8153,0.545,0.0015,0.6079,0.7523,0.2202,0.52
iran_interval_separate,Iranian-17,dft,none,7,415574642,False,0.915,1,10,0.7628,-0.876,10,0.5063,0.3996,0.05397,0.6154,0.7651,0.1663,0.4176
iran_interval_separate,Iranian-17,dft,none,7,415574642,False,0.915,2,10,0.6924,-2.9767,10,0.6841,0.3442,0.14743,0.6066,0.7583,0.1258,0.487
iran_interval_separate,Iranian-17,dft,none,7,415574642,False,0.915,3,1,0.9182,1.4689,3,0.2783,0.5912,0.0005,0.6108,0.7523,0.7933,0.4541
iran_interval_separate,Iranian-17,dft,none,7,415574642,False,0.915,4,12,0.976,-0.0,12,0.976,0.5926,0.0005,0.6064,0.7392,0.0491,0.4457
iran_interval_separate,Iranian-17,dft,none,7,415574642,False,0.915,5,8,0.7421,2.3603,8,0.5103,0.3846,0.06697,0.6098,0.7639,0.094,0.4289
iran_interval_separate,Iranian-17,dft,none,7,415574642,False,0.915,6,5,0.6792,-1.4156,7,0.2632,0.3145,0.16742,0.6042,0.7385,0.1588,0.5034
iran_interval_separate,Iranian-17,dft,input_shuffled,7,415574642,False,0.8889,0,1,0.9202,1.4104,9,0.2203,0.6036,0.0015,0.6128,0.7554,0.8609,0.4376
iran_interval_separate,Iranian-17,dft,input_shuffled,7,415574642,False,0.8889,1,4,0.8237,0.7188,4,0.6028,0.477,0.01999,0.6175,0.7753,0.1389,0.4386
iran_interval_separate,Iranian-17,dft,input_shuffled,7,415574642,False,0.8889,2,10,0.6949,2.6908,10,0.6326,0.3344,0.15492,0.612,0.7671,0.0264,0.4347
iran_interval_separate,Iranian-17,dft,input_shuffled,7,415574642,False,0.8889,3,1,0.8925,2.8791,1,0.8611,0.5353,0.001,0.6129,0.7685,0.096,0.5177
iran_interval_separate,Iranian-17,dft,input_shuffled,7,415574642,False,0.8889,4,1,0.8623,-0.3317,1,0.8136,0.5076,0.003,0.6074,0.7469,0.1517,0.4602
iran_interval_separate,Iranian-17,dft,input_shuffled,7,415574642,False,0.8889,5,12,0.9468,3.1416,12,0.9468,0.5622,0.001,0.6105,0.7544,0.1822,0.4745
iran_interval_separate,Iranian-17,dft,input_shuffled,7,415574642,False,0.8889,6,7,0.9354,2.7031,7,0.8477,0.5814,0.0005,0.6087,0.7441,0.0765,0.4732
iran_interval_separate,Iranian-17,dft,label_shuffled,7,415574642,False,0.634,0,11,0.6867,2.58,11,0.5874,0.3027,0.09345,0.5873,0.7114,0.0044,0.4582
iran_interval_separate,Iranian-17,dft,label_shuffled,7,415574642,False,0.634,1,12,0.6058,3.1416,12,0.6058,0.251,0.41979,0.5969,0.7235,0.0116,0.5612
iran_interval_separate,Iranian-17,dft,label_shuffled,7,415574642,False,0.634,2,5,0.562,-2.0374,12,0.4014,0.2197,0.5947,0.5834,0.7,0.133,0.4892
iran_interval_separate,Iranian-17,dft,label_shuffled,7,415574642,False,0.634,3,10,0.55,-0.5716,10,0.4708,0.207,0.75012,0.6086,0.7534,0.0896,0.479
iran_interval_separate,Iranian-17,dft,label_shuffled,7,415574642,False,0.634,4,3,0.7002,-0.0612,3,0.6989,0.344,0.10495,0.602,0.7371,0.164,0.4975
iran_interval_separate,Iranian-17,dft,label_shuffled,7,415574642,False,0.634,5,6,0.4713,-2.4999,5,0.4381,0.1615,0.97751,0.6031,0.7422,0.1831,0.4789
iran_interval_separate,Iranian-17,dft,label_shuffled,7,415574642,False,0.634,6,9,0.7554,1.3707,4,0.2725,0.3926,0.02249,0.6004,0.7249,0.4134,0.4889
iran_interval_separate,Iranian-17,dft,none,7,1526380370,False,0.9281,0,1,0.9152,-1.6493,3,0.2876,0.5851,0.001,0.6117,0.756,0.7653,0.4321
iran_interval_separate,Iranian-17,dft,none,7,1526380370,False,0.9281,1,12,0.9669,-0.0,12,0.9669,0.5831,0.001,0.6046,0.7425,0.1267,0.4949
