task,system,basis,control,n_hidden,network_seed,converged,accuracy,hidden_unit,best_freq,best_R,best_phase,best_freq_cos,best_R_cos,concentration,null_p,null_mean,null_p95,pitch_height_r,random_r_p95
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1393487140,False,0.6209,3,2,0.6878,0.1914,2,0.6767,0.3403,0.05947,0.5803,0.6955,0.0867,0.4474
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1393487140,False,0.6209,4,5,0.5574,-0.2095,5,0.5452,0.2072,0.72864,0.6103,0.7507,0.1756,0.4724
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1393487140,False,0.6209,5,9,0.758,3.0212,9,0.7525,0.4046,0.03198,0.6067,0.7413,0.5908,0.4659
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1393487140,False,0.6209,6,6,0.5638,2.0305,2,0.4973,0.2184,0.68516,0.605,0.7429,0.3125,0.4906
iran_interval_separate,Iranian-17,dft,none,7,704923095,False,0.902,0,2,0.8523,1.4049,9,0.3228,0.4873,0.0015,0.6112,0.7618,0.3579,0.478
iran_interval_separate,Iranian-17,dft,none,7,704923095,False,0.902,1,5,0.8822,-2.8076,5,0.8338,0.5227,0.0015,0.613,0.7613,0.2073,0.4958
iran_interval_separate,Iranian-17,dft,none,7,704923095,False,0.902,2,1,0.9527,1.4421,6,0.2209,0.6447,0.0005,0.61,0.7572,0.7925,0.4702
iran_interval_separate,Iranian-17,dft,none,7,704923095,False,0.902,3,12,0.977,-0.0,12,0.977,0.5952,0.0005,0.607,0.7475,0.14,0.4894
iran_interval_separate,Iranian-17,dft,none,7,704923095,False,0.902,4,1,0.7106,0.2282,1,0.6927,0.3485,0.02999,0.5776,0.6916,0.4095,0.4514
iran_interval_separate,Iranian-17,dft,none,7,704923095,False,0.902,5,7,0.8983,-1.6031,2,0.2921,0.5538,0.002,0.6096,0.7502,0.0195,0.4587
iran_interval_separate,Iranian-17,dft,none,7,704923095,False,0.902,6,9,0.7786,2.533,9,0.6307,0.414,0.03348,0.6121,0.7622,0.0518,0.4963
iran_interval_separate,Iranian-17,dft,input_shuffled,7,704923095,False,0.9085,0,12,0.9894,3.1416,12,0.9894,0.6098,0.001,0.61,0.7434,0.1276,0.4672
iran_interval_separate,Iranian-17,dft,input_shuffled,7,704923095,False,0.9085,1,1,0.9173,-2.0841,1,0.4853,0.5813,0.002,0.6148,0.7714,0.8031,0.4561
iran_interval_separate,Iranian-17,dft,input_shuffled,7,704923095,False,0.9085,2,1,0.8804,-1.259,3,0.2708,0.5336,0.0025,0.613,0.7613,0.5881,0.494
iran_interval_separate,Iranian-17,dft,input_shuffled,7,704923095,False,0.9085,3,5,0.9604,-2.5544,5,0.8014,0.6117,0.0005,0.6086,0.744,0.2142,0.4809
iran_interval_separate,Iranian-17,dft,input_shuffled,7,704923095,False,0.9085,4,6,0.9448,3.0101,6,0.9414,0.8364,0.0005,0.6101,0.7523,0.0964,0.5062
iran_interval_separate,Iranian-17,dft,input_shuffled,7,704923095,False,0.9085,5,9,0.7038,2.7329,9,0.6434,0.3422,0.15042,0.6176,0.7646,0.0566,0.4942
iran_interval_separate,Iranian-17,dft,input_shuffled,7,704923095,False,0.9085,6,4,0.9141,-1.8778,1,0.336,0.6004,0.001,0.6168,0.7654,0.2047,0.4486
iran_interval_separate,Iranian-17,dft,label_shuffled,7,704923095,False,0.6601,0,6,0.7083,-1.709,11,0.495,0.3093,0.13143,0.6127,0.762,0.0519,0.4677
iran_interval_separate,Iranian-17,dft,label_shuffled,7,704923095,False,0.6601,1,6,0.5113,1.4106,11,0.4189,0.17,0.91104,0.5973,0.7224,0.2304,0.4746
iran_interval_separate,Iranian-17,dft,label_shuffled,7,704923095,False,0.6601,2,11,0.5635,-0.6783,11,0.4469,0.2298,0.55622,0.5779,0.6967,0.3592,0.4734
iran_interval_separate,Iranian-17,dft,label_shuffled,7,704923095,False,0.6601,3,3,0.6198,0.0082,3,0.6198,0.2667,0.38381,0.6042,0.7381,0.1289,0.4856
iran_interval_separate,Iranian-17,dft,label_shuffled,7,704923095,False,0.6601,4,2,0.6186,2.8287,2,0.5918,0.2643,0.37731,0.6021,0.7375,0.0167,0.4852
iran_interval_separate,Iranian-17,dft,label_shuffled,7,704923095,False,0.6601,5,7,0.6118,-2.1973,8,0.3794,0.2468,0.41779,0.6052,0.7424,0.0295,0.5121
iran_interval_separate,Iranian-17,dft,label_shuffled,7,704923095,False,0.6601,6,4,0.5266,2.5753,4,0.4361,0.1816,0.86757,0.6097,0.7444,0.1218,0.4552
iran_interval_separate,Iranian-17,dft,none,7,1064398671,False,0.9412,0,4,0.5795,-0.0001,4,0.5795,0.2287,0.58621,0.6074,0.7604,0.0625,0.423
iran_interval_separate,Iranian-17,dft,none,7,1064398671,False,0.9412,1,6,0.8518,-0.0441,6,0.8514,0.6469,0.0065,0.6103,0.7608,0.0882,0.481
iran_interval_separate,Iranian-17,dft,none,7,1064398671,False,0.9412,2,10,0.9244,-0.3274,10,0.8807,0.6137,0.001,0.611,0.758,0.2022,0.4365
iran_interval_separate,Iranian-17,dft,none,7,1064398671,False,0.9412,3,12,0.9538,3.1416,12,0.9538,0.5695,0.0005,0.608,0.7477,0.1799,0.5206
iran_interval_separate,Iranian-17,dft,none,7,1064398671,False,0.9412,4,1,0.8466,-2.2457,1,0.5521,0.5014,0.009,0.6146,0.766,0.7425,0.4691
iran_interval_separate,Iranian-17,dft,none,7,1064398671,False,0.9412,5,4,0.651,1.4339,3,0.5728,0.3048,0.26087,0.6068,0.7529,0.0156,0.4588
iran_interval_separate,Iranian-17,dft,none,7,1064398671,False,0.9412,6,7,0.9222,2.6586,7,0.8178,0.5752,0.0005,0.608,0.746,0.1843,0.4882
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1064398671,False,0.8562,0,9,0.9202,0.7408,9,0.6946,0.6186,0.0005,0.6126,0.7628,0.1388,0.4585
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1064398671,False,0.8562,1,6,0.9794,2.4117,6,0.8494,0.7953,0.0005,0.6167,0.7728,0.2057,0.5261
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1064398671,False,0.8562,2,1,0.9667,1.4478,8,0.2212,0.655,0.0005,0.6135,0.761,0.7953,0.4566
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1064398671,False,0.8562,3,8,0.7426,-1.3032,7,0.2926,0.3931,0.06597,0.6099,0.7554,0.0933,0.488
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1064398671,False,0.8562,4,12,0.964,-0.0,12,0.964,0.579,0.001,0.6069,0.7419,0.081,0.4436
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1064398671,False,0.8562,5,2,0.7347,2.7159,2,0.676,0.3787,0.07896,0.6124,0.7586,0.0644,0.4589
iran_interval_separate,Iranian-17,dft,input_shuffled,7,1064398671,False,0.8562,6,5,0.9463,0.542,5,0.8121,0.5981,0.0005,0.6115,0.7631,0.1614,0.4425
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1064398671,False,0.6536,0,4,0.5436,1.9684,3,0.3893,0.1963,0.76712,0.5989,0.7282,0.1927,0.5128
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1064398671,False,0.6536,1,1,0.6777,-2.0684,12,0.4037,0.2929,0.17491,0.6056,0.7434,0.4176,0.4963
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1064398671,False,0.6536,2,2,0.5801,2.1229,11,0.3698,0.2337,0.58421,0.6042,0.7344,0.0156,0.47
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1064398671,False,0.6536,3,1,0.553,-0.2119,1,0.5403,0.2162,0.73963,0.6067,0.7453,0.0392,0.4446
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1064398671,False,0.6536,4,8,0.5953,-0.6516,8,0.4621,0.2462,0.54973,0.6129,0.7546,0.3854,0.4243
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1064398671,False,0.6536,5,9,0.7147,-0.0746,9,0.7127,0.3472,0.10445,0.6075,0.7524,0.3245,0.4741
iran_interval_separate,Iranian-17,dft,label_shuffled,7,1064398671,False,0.6536,6,8,0.5929,-2.3317,9,0.4491,0.2455,0.51524,0.6034,0.7428,0.2076,0.4368
iran_interval_collapsed,Iranian-17,dft,none,7,449480147,False,0.8562,0,8,0.791,-0.0132,8,0.7909,0.4065,0.01549,0.6046,0.7402,0.3732,0.4951
iran_interval_collapsed,Iranian-17,dft,none,7,449480147,False,0.8562,1,10,0.9501,0.0049,10,0.9501,0.6792,0.001,0.6177,0.7716,0.1807,0.4603
iran_interval_collapsed,Iranian-17,dft,none,7,449480147,False,0.8562,2,4,0.9195,3.1374,4,0.9195,0.5659,0.0005,0.6125,0.7591,0.0141,0.5119
iran_interval_collapsed,Iranian-17,dft,none,7,449480147,False,0.8562,3,11,0.9599,-0.782,11,0.7004,0.5892,0.0005,0.6127,0.7608,0.3297,0.5052
iran_interval_collapsed,Iranian-17,dft,none,7,449480147,False,0.8562,4,5,0.9811,0.7799,5,0.7013,0.6358,0.0005,0.6094,0.7508,0.1261,0.4992
iran_interval_collapsed,Iranian-17,dft,none,7,449480147,False,0.8562,5,2,0.9929,-1.5763,9,0.2038,0.6571,0.0005,0.6146,0.7625,0.3635,0.4695
iran_interval_collapsed,Iranian-17,dft,none,7,449480147,False,0.8562,6,12,0.9973,-0.0,12,0.9973,0.6178,0.0015,0.6046,0.7441,0.1102,0.5298
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,449480147,False,0.9346,0,2,0.9509,2.844,2,0.9137,0.6697,0.0005,0.6136,0.7625,0.0061,0.4911
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,449480147,False,0.9346,1,7,0.9692,2.3259,7,0.6684,0.6304,0.0005,0.6073,0.7488,0.1207,0.5015
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,449480147,False,0.9346,2,5,0.8969,1.0861,5,0.4248,0.5459,0.0005,0.5993,0.7279,0.0071,0.4976
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,449480147,False,0.9346,3,12,0.9681,3.1416,12,0.9681,0.5816,0.001,0.6117,0.7525,0.0593,0.4539
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,449480147,False,0.9346,4,3,0.9563,2.2258,3,0.6086,0.666,0.0005,0.615,0.7648,0.1796,0.469
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,449480147,False,0.9346,5,11,0.8348,0.1268,11,0.828,0.4825,0.004,0.6081,0.7446,0.1817,0.4996
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,449480147,False,0.9346,6,9,0.8091,-1.4365,11,0.224,0.4584,0.01549,0.6112,0.7584,0.118,0.487
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,449480147,False,0.6536,0,1,0.619,2.0494,5,0.3058,0.2731,0.2069,0.5688,0.6833,0.3173,0.5088
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,449480147,False,0.6536,1,7,0.5672,0.6215,12,0.5231,0.2155,0.62169,0.5955,0.7278,0.1651,0.4483
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,449480147,False,0.6536,2,9,0.5746,1.8011,3,0.3964,0.221,0.62119,0.6093,0.7581,0.0237,0.4862
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,449480147,False,0.6536,3,7,0.5397,1.6976,4,0.3755,0.2031,0.8006,0.6068,0.75,0.2227,0.4641
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,449480147,False,0.6536,4,10,0.639,-1.0849,11,0.4229,0.2891,0.2084,0.5866,0.7035,0.0664,0.5283
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,449480147,False,0.6536,5,7,0.5227,-0.4979,7,0.4599,0.1899,0.87256,0.6053,0.745,0.2878,0.49
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,449480147,False,0.6536,6,7,0.5541,0.8601,9,0.3946,0.2207,0.55672,0.5697,0.6824,0.0201,0.4995
iran_interval_collapsed,Iranian-17,dft,none,7,1568791131,False,0.9281,0,7,0.9897,-1.3278,12,0.3777,0.6573,0.0005,0.6088,0.752,0.046,0.4592
iran_interval_collapsed,Iranian-17,dft,none,7,1568791131,False,0.9281,1,2,0.8792,0.7186,2,0.6793,0.5462,0.0025,0.6116,0.7529,0.3429,0.4197
iran_interval_collapsed,Iranian-17,dft,none,7,1568791131,False,0.9281,2,9,0.9597,-1.6085,4,0.2732,0.6457,0.0005,0.6112,0.7604,0.0556,0.4858
iran_interval_collapsed,Iranian-17,dft,none,7,1568791131,False,0.9281,3,11,0.979,2.1398,11,0.5611,0.6597,0.0005,0.6131,0.7554,0.4238,0.4784
iran_interval_collapsed,Iranian-17,dft,none,7,1568791131,False,0.9281,4,12,0.9709,-0.0,12,0.9709,0.5862,0.001,0.6107,0.7482,0.1824,0.479
iran_interval_collapsed,Iranian-17,dft,none,7,1568791131,False,0.9281,5,5,0.768,-3.0835,5,0.7667,0.4047,0.03198,0.6084,0.7409,0.0385,0.4276
iran_interval_collapsed,Iranian-17,dft,none,7,1568791131,False,0.9281,6,10,0.5648,0.4133,10,0.5222,0.234,0.62119,0.5951,0.7298,0.4048,0.4828
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1568791131,False,0.9346,0,1,0.9244,1.6167,8,0.2639,0.5765,0.001,0.612,0.7575,0.7107,0.4681
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1568791131,False,0.9346,1,2,0.961,2.1461,2,0.546,0.6369,0.0005,0.6092,0.7582,0.2318,0.5095
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1568791131,False,0.9346,2,3,0.9662,-1.0345,3,0.5271,0.6779,0.0005,0.6119,0.7642,0.1884,0.4211
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1568791131,False,0.9346,3,7,0.8802,0.2964,7,0.8416,0.5223,0.0025,0.6124,0.7555,0.341,0.5368
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1568791131,False,0.9346,4,12,0.9643,-0.0,12,0.9643,0.5812,0.0005,0.6081,0.7442,0.1609,0.4753
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1568791131,False,0.9346,5,7,0.782,-1.3321,6,0.2715,0.4287,0.01299,0.6021,0.7328,0.3071,0.4991
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1568791131,False,0.9346,6,8,0.659,-2.0971,11,0.4672,0.3159,0.24238,0.6078,0.7509,0.3047,0.4688
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1568791131,False,0.719,0,6,0.662,-1.9474,12,0.5466,0.2846,0.1944,0.6001,0.7297,0.0467,0.4927
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1568791131,False,0.719,1,5,0.6831,-2.6806,5,0.6125,0.3037,0.11344,0.5942,0.722,0.2201,0.4828
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1568791131,False,0.719,2,7,0.6655,-0.7684,7,0.481,0.3058,0.21239,0.6075,0.7524,0.1005,0.4254
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1568791131,False,0.719,3,1,0.6957,-0.7686,1,0.4862,0.3375,0.14393,0.6107,0.7583,0.3149,0.4863
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1568791131,False,0.719,4,6,0.5159,1.1769,7,0.4646,0.183,0.89255,0.6052,0.7423,0.243,0.5024
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1568791131,False,0.719,5,9,0.5259,0.2392,9,0.5114,0.1859,0.85307,0.602,0.736,0.4006,0.4519
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1568791131,False,0.719,6,5,0.5216,-3.0283,5,0.5183,0.1856,0.86057,0.6008,0.7342,0.0466,0.4732
iran_interval_collapsed,Iranian-17,dft,none,7,1210503123,False,0.9869,0,10,0.9439,-2.9224,10,0.9239,0.6633,0.0005,0.6156,0.7692,0.1227,0.4869
iran_interval_collapsed,Iranian-17,dft,none,7,1210503123,False,0.9869,1,11,0.9358,2.3592,11,0.6826,0.551,0.0005,0.6095,0.7487,0.2705,0.4866
iran_interval_collapsed,Iranian-17,dft,none,7,1210503123,False,0.9869,2,6,0.9783,-0.0676,6,0.9774,0.9338,0.0005,0.6119,0.7613,0.0904,0.5316
iran_interval_collapsed,Iranian-17,dft,none,7,1210503123,False,0.9869,3,7,0.9792,2.3497,7,0.6918,0.64,0.0005,0.6097,0.7571,0.1265,0.4933
iran_interval_collapsed,Iranian-17,dft,none,7,1210503123,False,0.9869,4,3,0.9895,-0.7907,3,0.7154,0.7143,0.0005,0.6169,0.7615,0.1703,0.4835
iran_interval_collapsed,Iranian-17,dft,none,7,1210503123,False,0.9869,5,8,0.9759,1.7687,1,0.2604,0.6925,0.0005,0.616,0.7649,0.0327,0.496
iran_interval_collapsed,Iranian-17,dft,none,7,1210503123,False,0.9869,6,12,0.9888,3.1416,12,0.9888,0.6098,0.001,0.6082,0.7506,0.1538,0.4264
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1210503123,False,0.8954,0,7,0.8908,-1.6976,2,0.2744,0.5424,0.003,0.6131,0.7584,0.164,0.4766
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1210503123,False,0.8954,1,1,0.905,0.4984,1,0.8008,0.5398,0.001,0.614,0.7626,0.351,0.4841
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1210503123,False,0.8954,2,7,0.9065,-3.1067,7,0.9059,0.5616,0.002,0.617,0.7759,0.1367,0.4602
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1210503123,False,0.8954,3,5,0.929,-2.1787,5,0.5363,0.5773,0.0005,0.6052,0.7364,0.0489,0.4641
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1210503123,False,0.8954,4,12,0.6025,3.1416,12,0.6025,0.2406,0.48076,0.6069,0.7492,0.0408,0.4645
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1210503123,False,0.8954,5,3,0.8641,3.0788,3,0.8624,0.5254,0.004,0.6113,0.7619,0.1086,0.4544
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1210503123,False,0.8954,6,12,0.9825,3.1416,12,0.9825,0.6024,0.001,0.6087,0.747,0.1234,0.4504
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1210503123,False,0.6863,0,8,0.6536,1.6028,3,0.326,0.3027,0.22689,0.6005,0.7286,0.1338,0.4553
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1210503123,False,0.6863,1,2,0.8029,-1.498,4,0.2759,0.4349,0.009,0.6047,0.7427,0.189,0.4624
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1210503123,False,0.6863,2,9,0.5617,-2.9762,9,0.5542,0.2254,0.68666,0.6023,0.7288,0.3487,0.4699
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1210503123,False,0.6863,3,1,0.6104,2.5325,11,0.5718,0.2663,0.31034,0.5823,0.6987,0.0409,0.4605
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1210503123,False,0.6863,4,2,0.6627,2.7572,2,0.6194,0.3007,0.21289,0.6032,0.7362,0.1046,0.5255
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1210503123,False,0.6863,5,5,0.5089,-0.1661,5,0.5019,0.1757,0.89455,0.5908,0.7163,0.2332,0.4235
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1210503123,False,0.6863,6,1,0.6498,-1.8515,4,0.451,0.2729,0.27736,0.6077,0.7524,0.5813,0.5192
iran_interval_collapsed,Iranian-17,dft,none,7,1428735545,False,0.9542,0,5,0.9795,1.0234,12,0.5334,0.6377,0.0005,0.6092,0.7491,0.2394,0.4914
iran_interval_collapsed,Iranian-17,dft,none,7,1428735545,False,0.9542,1,6,0.9382,2.3698,6,0.7958,0.7044,0.001,0.6128,0.7563,0.1975,0.5014
iran_interval_collapsed,Iranian-17,dft,none,7,1428735545,False,0.9542,2,1,0.9176,-0.7846,1,0.6301,0.5742,0.0005,0.6093,0.7566,0.3934,0.4884
iran_interval_collapsed,Iranian-17,dft,none,7,1428735545,False,0.9542,3,7,0.9085,-2.6899,7,0.8166,0.5592,0.001,0.6137,0.7581,0.2719,0.4759
iran_interval_collapsed,Iranian-17,dft,none,7,1428735545,False,0.9542,4,12,0.9711,3.1416,12,0.9711,0.5909,0.001,0.607,0.746,0.0866,0.497
iran_interval_collapsed,Iranian-17,dft,none,7,1428735545,False,0.9542,5,5,0.7507,-2.676,5,0.6715,0.389,0.04248,0.6086,0.7423,0.2882,0.496
iran_interval_collapsed,Iranian-17,dft,none,7,1428735545,False,0.9542,6,9,0.9494,0.6069,9,0.7896,0.6532,0.0005,0.6156,0.7714,0.1628,0.5457
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1428735545,False,0.9412,0,12,0.9802,3.1416,12,0.9802,0.5967,0.0015,0.6037,0.7459,0.0539,0.4883
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1428735545,False,0.9412,1,6,0.985,-2.42,6,0.8577,0.8074,0.0005,0.6194,0.7762,0.1004,0.4828
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1428735545,False,0.9412,2,7,0.8636,-2.0572,7,0.3971,0.5088,0.0045,0.6122,0.7591,0.0157,0.5124
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1428735545,False,0.9412,3,7,0.9631,2.6562,7,0.853,0.6223,0.0005,0.6117,0.7531,0.0392,0.4521
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1428735545,False,0.9412,4,5,0.947,-2.4684,5,0.743,0.604,0.0005,0.6089,0.75,0.1607,0.5301
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1428735545,False,0.9412,5,9,0.9483,0.98,9,0.5578,0.6529,0.0005,0.6131,0.7589,0.0816,0.4924
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,1428735545,False,0.9412,6,5,0.6711,0.9434,5,0.3979,0.3051,0.10245,0.5881,0.7041,0.045,0.452
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1428735545,False,0.6863,0,9,0.6614,-2.7011,9,0.6012,0.3025,0.16392,0.5915,0.7179,0.2537,0.5574
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1428735545,False,0.6863,1,5,0.4516,-3.0942,5,0.4511,0.1448,0.995,0.5903,0.7069,0.1437,0.5097
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1428735545,False,0.6863,2,12,0.667,-0.0,12,0.667,0.2994,0.21889,0.6087,0.7446,0.0083,0.4861
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1428735545,False,0.6863,3,6,0.6275,-2.5259,6,0.5714,0.2949,0.35932,0.6077,0.7501,0.0397,0.5369
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1428735545,False,0.6863,4,5,0.5685,-0.496,5,0.4993,0.226,0.64618,0.6057,0.7442,0.0323,0.4333
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1428735545,False,0.6863,5,2,0.6698,2.3034,2,0.4633,0.3118,0.21289,0.6088,0.7472,0.1245,0.4575
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,1428735545,False,0.6863,6,6,0.7084,1.5615,11,0.6226,0.311,0.05147,0.5885,0.7087,0.375,0.4752
iran_interval_collapsed,Iranian-17,dft,none,7,99546602,False,0.9085,0,12,0.9968,-0.0,12,0.9968,0.6148,0.001,0.6099,0.744,0.1337,0.4189
iran_interval_collapsed,Iranian-17,dft,none,7,99546602,False,0.9085,1,9,0.9597,0.7111,9,0.7418,0.6697,0.0005,0.6151,0.7659,0.1121,0.4946
iran_interval_collapsed,Iranian-17,dft,none,7,99546602,False,0.9085,2,6,0.9686,-0.5987,6,0.8873,0.8154,0.0005,0.6119,0.7611,0.1296,0.4914
iran_interval_collapsed,Iranian-17,dft,none,7,99546602,False,0.9085,3,5,0.9952,0.7963,5,0.7,0.6597,0.0005,0.611,0.7575,0.1251,0.4898
iran_interval_collapsed,Iranian-17,dft,none,7,99546602,False,0.9085,4,10,0.9867,0.0433,10,0.9858,0.7165,0.0005,0.6125,0.7579,0.2221,0.5088
iran_interval_collapsed,Iranian-17,dft,none,7,99546602,False,0.9085,5,12,0.9896,3.1416,12,0.9896,0.6079,0.0005,0.6083,0.7485,0.1765,0.5005
iran_interval_collapsed,Iranian-17,dft,none,7,99546602,False,0.9085,6,2,0.9865,1.5183,3,0.2436,0.6504,0.0005,0.6091,0.7623,0.4085,0.4143
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,99546602,False,0.9346,0,12,0.8996,-0.0,12,0.8996,0.5059,0.0005,0.5808,0.6961,0.2951,0.494
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,99546602,False,0.9346,1,9,0.9883,0.0303,9,0.9878,0.6818,0.0005,0.614,0.7571,0.3224,0.4564
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,99546602,False,0.9346,2,7,0.9676,-0.5472,7,0.8279,0.6198,0.0005,0.6115,0.7555,0.1108,0.484
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,99546602,False,0.9346,3,10,0.9856,2.6378,10,0.8752,0.6977,0.0005,0.6098,0.7596,0.3591,0.5132
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,99546602,False,0.9346,4,10,0.8284,-2.098,6,0.5362,0.515,0.01049,0.6131,0.7632,0.0546,0.5054
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,99546602,False,0.9346,5,12,0.9881,3.1416,12,0.9881,0.6081,0.0015,0.6076,0.7519,0.0763,0.4749
iran_interval_collapsed,Iranian-17,dft,input_shuffled,7,99546602,False,0.9346,6,1,0.9601,1.1886,1,0.4022,0.6263,0.0005,0.6131,0.7602,0.6898,0.4955
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,99546602,False,0.6993,0,11,0.6036,2.5159,8,0.5096,0.2435,0.43028,0.5974,0.7213,0.3597,0.426
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,99546602,False,0.6993,1,7,0.6341,-2.517,7,0.513,0.2815,0.34883,0.6093,0.7508,0.2115,0.4678
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,99546602,False,0.6993,2,6,0.7682,1.4558,1,0.4336,0.3579,0.02599,0.6032,0.7396,0.0024,0.438
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,99546602,False,0.6993,3,1,0.6396,0.8604,1,0.4331,0.2863,0.30135,0.6072,0.7479,0.6366,0.4273
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,99546602,False,0.6993,4,1,0.5356,2.5785,1,0.4481,0.2066,0.76912,0.5888,0.7113,0.1821,0.4487
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,99546602,False,0.6993,5,12,0.5271,-0.0,12,0.5271,0.1894,0.84758,0.6026,0.7398,0.0499,0.4949
iran_interval_collapsed,Iranian-17,dft,label_shuffled,7,99546602,False,0.6993,6,4,0.6422,-2.003,10,0.556,0.3001,0.29985,0.6081,0.7456,0.1596,0.4806
iran_interval_collapsed,Iranian-17,dft,none,7,1391017645,False,0.8693,0,4,0.9281,0.0643,4,0.926,0.5764,0.001,0.6122,0.7596,0.0483,0.4807
iran_interval_collapsed,Iranian-17,dft,none,7,1391017645,False,0.8693,1,12,0.9771,-0.0,12,0.9771,0.5941,0.002,0.6084,0.7477,0.104,0.444
iran_interval_collapsed,Iranian-17,dft,none,7,1391017645,False,0.8693,2,3,0.9675,0.807,3,0.6486,0.6356,0.0005,0.6103,0.7557,0.1129,0.4665
iran_interval_collapsed,Iranian-17,dft,none,7,1391017645,False,0.8693,3,1,0.9807,2.322,1,0.6466,0.6509,0.0005,0.6111,0.7549,0.484,0.4217
