stimulus_id,pc_c,pc_dflat,pc_dkoron,pc_d,pc_eflat,pc_ekoron,pc_e,pc_f,pc_fsori,pc_fsharp,pc_g,pc_aflat,pc_akoron,pc_a,pc_bflat,pc_bkoron,pc_b,target_category,target_label,pitch_classes
1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,100-200-200,c+dflat+eflat+f
2,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,150-150-200,c+dkoron+eflat+f
3,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,2,150-200-150,c+dkoron+ekoron+f
4,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,150-250-100,c+dkoron+e+f
5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,4,200-100-200,c+d+eflat+f
6,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,5,200-150-150,c+d+ekoron+f
7,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,200-200-100,c+d+e+f
8,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,100-200-200,dflat+d+e+fsori
9,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,4,200-100-200,dflat+eflat+e+fsori
10,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,6,200-200-100,dflat+eflat+f+fsori
11,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2,150-200-150,dkoron+eflat+f+fsharp
12,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,5,200-150-150,dkoron+ekoron+f+fsharp
13,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,100-200-200,d+eflat+f+g
14,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1,150-150-200,d+ekoron+f+g
15,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,3,150-250-100,d+ekoron+fsori+g
16,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,4,200-100-200,d+e+f+g
17,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,6,200-200-100,d+e+fsori+g
18,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,100-200-200,eflat+e+fsori+aflat
19,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,4,200-100-200,eflat+f+fsori+aflat
20,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,5,200-150-150,eflat+f+fsharp+aflat
21,0,0,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,6,200-200-100,eflat+f+g+aflat
22,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,150-150-200,ekoron+f+fsharp+akoron
23,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,0,2,150-200-150,ekoron+f+g+akoron
