,system,n_sig,n_7_12,frac_7_12,n_at_nyquist_12,frac_at_12,n_7_11,frac_7_11
0,Iranian-17,1056,595,0.563,339,0.321,256,0.242
1,Western-12,260,0,0.0,0,0.0,0,0.0
