,system,n_networks,mean_logitR_real,mean_logitR_labelnull,mean_diff,diff_ci_low,diff_ci_high,wilcoxon_W,rank_biserial,wilcoxon_p
0,Iranian-17,225,1.635,0.435,1.2,1.124,1.279,0.0,1.0,1.15e-38
1,Western-12,50,2.814,0.665,2.149,1.91,2.406,0.0,1.0,1.78e-15
