,system,basis,n_sig,n_total,frac_sig,min_freq,max_freq,nyquist,reaches_nyquist,mean_R,freqs_used
0,Iranian-17,dft,1056,1950,0.542,1,12,12,True,0.888,1|2|3|4|5|6|7|8|9|10|11|12
1,Western-12,dft,260,350,0.743,1,6,6,True,0.95,1|2|3|4|5|6
