,system,n_interval_units,n_in_7_11,frac_in_7_11,ci_low,ci_high,max_freq,fisher_p_vs_other_system
0,Iranian-17,279,86,0.308,,,12,1.508e-28
1,Western-12,260,0,0.0,,,6,1.508e-28
